actor_id,actor_login,following
84712,dagar,"2893260,4010813,7610489,3596952,14280452,1238413,3398990"
84729,arantius,*
84730,dustineichler,*
84732,rhauch,"23506,108167,437085,465006,514917,557336,558162,560417,560654"
84734,crcunningham,"474,2971,47517,51363,80060,128853,287063,627915,739696,1008817,3087023"
84737,georgecrawford,*
84740,tocky,"690,6027,10111,12104,18634,30733,72989,79116,238331,288271,293886,377232,646254,949716,1174500,1271259,1509852,1658507,4209276,12840825,41248242"
84743,DVG,"2,161,372,572,2567,2723,3124,3962,6525,16794,17538,20930,20931,30733,34346,64433,65323,116883,127288,130838,257689,271880,544302,706128,720055,831776,949308,1168682,1390709,2252978,2685729,2755104,3196668,3774274,7865650,25505984,33140493,40149173,70681270"
84750,mtrythall,"1896,40453,61586,62615,65041,107142,5723303"
84757,nathanaelkane,"216,17822,40725,65675,83466,1359421,12900252"
84759,skygunner,"185212,187848,264346,445338,1361891,4592398,5785188,6270979,6317217,12934991,12994887,16519323,21693163,32443558,84814103"
84762,bdaehlie,*
84763,neonstalwart,"459,7288,8495,9715,12631,15000,18679,21236,25254,34054,36214,38546,58393,76838,97291,97331,110953,111951,117943,126477,190574,204106,208049,229244,262641,288795,302992,341662,398379,420179,479538,479546,495647,563460,682840,1058839,1133852,1148383"
84765,PMudra,"44168,56883,3264457,3299948,3420964,4173288,5047293,5519020,5690396,7020807,10880840,11521721,20043350,22739836,40909186,62486588"
84772,mrettig,1211943
84778,callan,"39133,69422,69423,1043528,21242485"
84780,salem,*
84792,defunctzombie,"1562176,376661,8740476,107115,554847,3232081,5810234,13041,1220601,938655,34673,643505,82634,65407,60294,457532,26499,801236,1357237,884495,89353,1395733,41087,866815,152863,187989,26842,767372,50081,268253,1216791,829767,639093,618662,595589,594777,395206,149010,62615,62224,51821,21952"
84797,danwoodward,48071
84800,jean,"378,2716,4732,5373,5924,6515,6525,12127,12854,13277,20592,25765,28410,29944,33697,38344,41495,47046,56260,64153,112670,125426,126339,134455,147919,148059,150330,159967,160447,178003,218344,225574,246021,249595,307976,316318,325326,392144,408412,460966,495908,511761,512439,560646,582403,587518,619764,632049,636610,772727,784160,784273,866144,900380,934140,964649,1149737,1235230,1288823,1419401,1449837,1653275,1658742,1857993,1885159,2046589,2281088,2938310,4178542,4451817,5991987,7290412,8030961,8862021,9376482,11997567,24217243,33472159,34320559,49599193,74448761"
84806,thomasbilk,"11300,29006,119893,176576,218045,687163,934140,1211392,2380230,2393485,4171382"
84813,rtanaka1ro,8991
84825,metawilm,"84627,108751,543720,3160577"
84832,psahni,"78,235,402,1574,3948,5639,6399,6586,8898,10648,10652,33274,52642,66836,70886,111951,146214,179630,218986,295689,344226,1570745,5550850,13146172,17208128"
84842,usrshare,8621403
84847,leogomes,"7781,24747,44786,72254,142644,152601,173918,225674,245621,286476,391987,422251,449671,472614,652458,828220,831175,904193,935202,973550,1101211,1133099,1152706,1189030,1270798,1307065,1393186,1395710,1395842,1485503,1626430,1858943,1928945,2074587,2692655,3717113,3846669,3864333,6165584,8555225,16737377,17087416,46579776,81699150"
84850,josch,6655915
84854,salva,"500,2367,5517,9582,10111,12017,14953,16639,17535,20518,24634,25046,36725,37372,41567,41809,44850,46671,50365,50729,51400,53034,54725,56241,60705,67825,68682,73148,77611,78947,101698,106490,113517,133483,144548,146569,153172,166731,170281,177011,227996,230029,231943,245131,270802,288163,328137,354009,366934,380480,387694,388436,405282,405910,407231,422671,434575,490880,500451,568047,608387,651203,716556,716822,758353,944452,949156,957902,1011983,1025564,1056142,1142554,1217550,1239643,1336092,1438499,1449482,1522423,1538460,1663443,1698741,2230093,2647973,2665575,3056540,3117609,3665778,3742727,3742953,5183306,5437829,5862302,6047864,6312149,6320356,6622161,6773332,7414080,8991614,10187299,10522656,11423773"
84866,rastyagaev,*
84870,semou,*
84885,garrettw,"15487,25754,33429,39548,66796,133747,183678,216080,249164,253316,270445,352517,394869,405623,415989,442889,465152,503822,540035,647577,660654,771624,1190944,1192893,1259291,1295771,1475361,1628287,1889710,1899334,1907079,2236138,2454540,2743004,2948958,3154871,3499830,3520163,6540297,7751182,8281699,8940963,10209201,10793868,11775975,12937630,40679192,43661875"
84886,pb-,"79892,122341,126684,188377,234813,314458,332947,640840,675854,713525,838127,1221193,1223257,1427086,1458018,1576325,1580789,2179169,2252355,2733735,2955243,4951047,5880539,7969122,8728205,13507857,23466040"
84892,confraria,"80,924,1615,3736,7911,9265,10652,12291,13508,13700,22723,25117,25254,27544,27940,33163,33424,34045,36073,39191,49529,50130,59397,63648,81942,89353,93594,96554,97088,97331,110953,111424,114509,139760,166921,180031,195918,229521,234019,238208,238531,250426,265378,322311,323546,327909,344777,364532,376980,414923,439929,455023,466863,493849,499550,522948,534488,534930,543671,551247,558005,588473,617481,622227,686220,721262,731885,732595,787668,797483,817739,853712,878494,883126,1017236,1102694,1190716,1319720,1365881,1369770,1448449,1500684,1677817,1824582,1862212,1863771,1894248,3348231,3372410,3398624,3408176,3694604,4114823,4172079,4175141,4719590,5162819,5580297,5855893,5960497,5968653,6147001,6995927,7937824,8107784,8898989,9084345,10379601,12571019,16482298,16696352,17451647,18448734,22960610,25274700,27677125,30577653,35895831,38025074,64791123,91479326"
84906,WheresAlice,"7291547,408568,151272,511734,220864,219029,192593,185467,44418,41207,40766,37407,9224,696"
84910,oliv3,"20318,1161863,1231232,1702247,7349502,19333103"
84912,guyboertje,*
84926,edbizarro,"422,2840,3528,5348,5819,19543,19935,26548,27624,33387,39191,45376,48519,50130,56778,61721,67381,71047,72777,72895,108380,110953,122102,126160,151001,151829,154256,160360,170270,176013,183223,183328,194377,215911,219935,229752,231633,234957,245435,249125,265922,265964,307280,317464,339813,340055,367936,378751,439947,463230,467411,481677,483853,487433,499192,499550,502041,511499,513108,522344,549394,571159,573539,594614,640208,690578,720328,736316,777635,804684,839000,847603,904724,919930,924196,935729,962099,973269,981838,1009240,1036482,1051509,1087213,1107521,1111504,1130694,1134248,1143355,1282324,1322205,1369170,1374633,1393145,1394552,1411284,1430603,1445228,1450004,1454517,1517945,1545005,1556478,1561347,1620107,1623689,1633826,1643522,1656595,1667598,1682202,1838487,1850071,1851973,1853169,1865456,1883082,1891339,1902973,1983984,2123375,2143908,2194624,2281088,2327556,2366216,2572493,2574295,2829600,3068563,3110750,3172683,3182864,3670578,3725595,3753672,3772831,3959744,4070372,4275940,4304794,4316564,4323180,4332182,4573607,4688092,4732915,4801429,4908283,4928401,4977161,5068870,5154322,5287262,5355322,5457236,5701162,5912422,5985247,6032030,6060754,6104262,6169950,6207220,6404401,6525926,6595551,6609289,6767685,6799467,6868147,7255297,7342749,7688126,7718702,7914811,8056274,8228060,8294583,8321115,8449920,8453749,8456633,8547776,8784712,8925112,8977953,9022134,9027363,9141017,9161046,10088900,10116000,10395817,10716925,11093090,11183523,11228182,11351322,12037269,12835911,12927180,13038435,13808883,13812512,13918265,14836763,14843771,14994776,15185752,15933991,15981925,16037749,16060559,16091880,16548933,17324672,17325869,17949635,18500161,19141875,19264782,19337896,19653346,20294432,20451170,20716489,20716798,21243754,21265981,21350353,21983456,23191656,23743547,25737281,25756676,25994411,26059688,26308297,26755058,28670796,28828381,29150857,29507335,30262837,30627780,31683541,32246972,34192225,39279758,40840255,42153618,54807590,54920317"
84929,drhodes,49927092
84942,Yax,*
84956,the1ts,"1497,3515,60632,68415,69778,181261,1778847"
