Id,Label,timeset,indegree,outdegree,degree,pageranks,modularity_class
0,,,0,7,7,0.000006,111
1,,,2,0,2,0.000007,111
2,,,1,0,1,0.000007,111
3,,,1,0,1,0.000007,111
4,,,3,0,3,0.000008,111
5,,,1,0,1,0.000007,111
6,,,1,0,1,0.000007,111
7,,,1,0,1,0.000007,111
10,,,0,9,9,0.000006,95
11,,,2,0,2,0.000007,95
12,,,2,0,2,0.000007,95
13,,,1,0,1,0.000007,95
14,,,1,0,1,0.000007,95
15,,,1,0,1,0.000007,95
16,,,1,0,1,0.000007,95
17,,,1,0,1,0.000007,95
18,,,1,0,1,0.000007,95
19,,,1,0,1,0.000007,95
20,,,0,11,11,0.000006,460
21,,,2,0,2,0.000007,460
22,,,14,0,14,0.000008,460
23,,,12,0,12,0.000008,460
24,,,11,0,11,0.000008,460
25,,,3,0,3,0.000007,460
26,,,1,0,1,0.000007,460
27,,,1,0,1,0.000007,460
28,,,11,0,11,0.000008,460
29,,,21,0,21,0.000009,460
30,,,1,0,1,0.000007,460
31,,,8,0,8,0.000008,460
33,,,0,21,21,0.000006,533
34,,,3,0,3,0.000007,533
35,,,3,0,3,0.000007,533
36,,,70,0,70,0.000025,366
37,,,10,0,10,0.000007,366
38,,,7,0,7,0.000008,366
39,,,71,0,71,0.000015,78
40,,,14,0,14,0.000011,336
41,,,2,0,2,0.000007,609
42,,,4,0,4,0.000007,533
43,,,1,0,1,0.000007,533
44,,,2,0,2,0.000007,366
45,,,1,0,1,0.000007,533
46,,,4,0,4,0.000007,533
47,,,1,0,1,0.000007,533
48,,,1,0,1,0.000007,533
49,,,2,0,2,0.000007,533
50,,,4,0,4,0.000007,533
51,,,1,0,1,0.000007,533
52,,,43,0,43,0.000015,25
53,,,1,0,1,0.000007,533
54,,,9,0,9,0.000015,366
55,,,1,39,40,0.000006,609
56,,,147,0,147,0.000028,382
57,,,65,0,65,0.000018,609
58,,,1,0,1,0.000006,609
59,,,4,0,4,0.000007,1500
60,,,14,0,14,0.000008,78
61,,,59,0,59,0.000011,609
62,,,81,0,81,0.000016,609
63,,,7,0,7,0.000007,78
64,,,3,0,3,0.000007,640
65,,,1,0,1,0.000006,609
66,,,13,0,13,0.000008,609
67,,,1,0,1,0.000006,609
68,,,1,0,1,0.000006,609
69,,,2,0,2,0.000006,609
70,,,3,0,3,0.000006,609
71,,,14,0,14,0.000008,609
72,,,1,0,1,0.000006,609
73,,,2,0,2,0.000006,609
74,,,1,0,1,0.000006,609
75,,,2,0,2,0.000006,609
76,,,2,0,2,0.000007,146
77,,,2,0,2,0.000006,609
78,,,1,0,1,0.000006,609
79,,,1,0,1,0.000006,609
80,,,1,0,1,0.000006,609
81,,,1,0,1,0.000006,609
82,,,1,0,1,0.000006,609
83,,,19,0,19,0.000009,336
84,,,3,0,3,0.000007,336
85,,,1,0,1,0.000006,609
86,,,1,0,1,0.000006,609
87,,,14,0,14,0.000008,336
88,,,1,0,1,0.000006,609
89,,,1,0,1,0.000006,609
90,,,1,0,1,0.000006,609
91,,,2,0,2,0.000006,360
92,,,1,0,1,0.000006,609
93,,,1,0,1,0.000006,609
94,,,1,7,8,0.000006,63
95,,,3,0,3,0.000007,63
96,,,1,0,1,0.000007,63
97,,,7,0,7,0.000007,63
98,,,3,0,3,0.000007,63
99,,,2,0,2,0.000007,63
100,,,4,0,4,0.000007,63
101,,,1,0,1,0.000007,63
102,,,2,7,9,0.000007,253
103,,,7,0,7,0.000008,253
104,,,1,0,1,0.000007,253
105,,,1,0,1,0.000007,253
106,,,13,0,13,0.000009,172
107,,,3,0,3,0.000007,253
108,,,11,0,11,0.000008,253
109,,,1,0,1,0.000007,253
110,,,0,15,15,0.000006,95
111,,,5,0,5,0.000008,95
112,,,3,0,3,0.000007,95
113,,,1,0,1,0.000007,95
114,,,1,0,1,0.000007,95
115,,,13,0,13,0.000007,95
116,,,2,0,2,0.000012,95
117,,,5,0,5,0.000007,95
118,,,1,0,1,0.000007,95
119,,,3,0,3,0.000007,95
120,,,1,0,1,0.000007,95
121,,,81,0,81,0.000048,78
122,,,1,0,1,0.000007,95
123,,,1,0,1,0.000007,95
