source,target,weight
0,1,1
0,2,1
0,3,1
0,4,1
0,5,1
0,6,1
0,7,1
10,11,1
10,12,1
10,13,1
10,14,1
10,15,1
10,16,1
10,17,1
10,18,1
10,19,1
20,21,1
20,22,1
20,23,1
20,24,1
20,25,1
20,26,1
20,27,1
20,28,1
20,29,1
20,30,1
20,31,1
33,34,1
33,35,1
33,36,1
33,37,1
33,38,1
33,39,1
33,40,1
33,41,1
33,42,1
33,43,1
33,44,1
33,45,1
33,46,1
33,47,1
33,48,1
33,49,1
33,50,1
33,51,1
33,52,1
33,53,1
33,54,1
55,56,1
55,57,1
55,58,1
55,59,1
55,60,1
55,61,1
55,62,1
55,63,1
55,64,1
55,65,1
55,66,1
55,67,1
55,68,1
55,39,1
55,69,1
55,70,1
55,71,1
55,72,1
55,73,1
55,74,1
55,75,1
55,76,1
55,77,1
55,78,1
55,79,1
55,80,1
55,81,1
55,82,1
55,83,1
55,84,1
55,85,1
55,86,1
55,87,1
55,88,1
55,89,1
55,90,1
55,91,1
55,92,1
55,93,1
94,95,1
94,96,1
94,97,1
94,98,1
94,99,1
94,100,1
94,101,1
102,103,1
102,104,1
102,105,1
102,106,1
102,107,1
102,108,1
102,109,1
110,111,1
110,112,1
110,113,1
110,114,1
110,115,1
110,116,1
110,117,1
110,118,1
110,119,1
110,120,1
110,121,1
110,122,1
110,123,1
110,124,1
110,125,1
127,128,1
127,129,1
127,130,1
127,131,1
127,132,1
127,133,1
127,134,1
127,135,1
127,136,1
127,137,1
127,138,1
127,139,1
127,140,1
127,141,1
127,142,1
127,143,1
127,144,1
127,145,1
127,146,1
127,147,1
127,148,1
127,149,1
127,150,1
127,151,1
127,152,1
127,153,1
127,154,1
127,155,1
127,156,1
127,157,1
127,158,1
127,159,1
127,160,1
127,161,1
127,162,1
127,163,1
127,164,1
127,165,1
166,167,1
166,168,1
166,169,1
166,170,1
166,171,1
166,172,1
166,173,1
166,174,1
166,175,1
166,176,1
166,177,1
166,178,1
166,179,1
166,180,1
166,181,1
166,182,1
183,184,1
185,186,1
185,187,1
185,188,1
185,189,1
185,190,1
192,193,1
192,194,1
192,195,1
192,196,1
192,197,1
192,198,1
192,199,1
192,200,1
192,201,1
192,202,1
192,203,1
192,204,1
192,205,1
192,206,1
192,207,1
192,208,1
192,209,1
192,210,1
192,211,1
192,212,1
192,213,1
192,214,1
192,215,1
192,216,1
192,217,1
192,218,1
192,219,1
192,220,1
192,221,1
192,222,1
192,223,1
192,224,1
192,225,1
192,226,1
192,227,1
192,228,1
192,229,1
192,230,1
192,98,1
192,231,1
192,232,1
192,233,1
234,235,1
236,237,1
236,238,1
236,239,1
236,240,1
236,241,1
236,242,1
236,64,1
236,243,1
236,244,1
236,245,1
236,246,1
236,247,1
236,248,1
236,249,1
236,250,1
236,251,1
236,252,1
236,253,1
236,254,1
236,255,1
236,256,1
236,257,1
236,258,1
236,259,1
236,260,1
236,261,1
236,262,1
236,263,1
236,264,1
236,265,1
236,266,1
236,267,1
236,268,1
236,269,1
236,270,1
236,271,1
236,272,1
236,273,1
236,274,1
236,275,1
236,276,1
236,277,1
236,278,1
236,279,1
236,280,1
236,281,1
236,282,1
236,283,1
236,284,1
236,285,1
236,286,1
236,287,1
236,288,1
236,289,1
236,290,1
236,291,1
236,292,1
236,293,1
236,294,1
236,295,1
236,296,1
236,297,1
236,298,1
236,299,1
236,300,1
236,301,1
236,302,1
236,303,1
236,304,1
236,305,1
236,306,1
236,307,1
236,308,1
236,309,1
236,310,1
236,311,1
236,312,1
236,313,1
236,314,1
236,315,1
236,316,1
317,318,1
317,319,1
317,320,1
317,321,1
317,322,1
317,323,1
317,290,1
317,324,1
317,325,1
317,326,1
317,327,1
328,329,1
330,331,1
330,332,1
330,333,1
330,334,1
335,336,1
335,337,1
335,338,1
335,339,1
335,340,1
335,341,1
335,342,1
335,343,1
335,344,1
335,345,1
335,346,1
335,347,1
335,348,1
335,349,1
335,350,1
335,145,1
335,351,1
335,352,1
335,353,1
335,354,1
335,355,1
335,356,1
335,357,1
335,358,1
335,359,1
360,361,1
362,363,1
362,364,1
362,365,1
362,366,1
362,367,1
362,368,1
362,369,1
362,370,1
362,371,1
362,372,1
362,373,1
362,374,1
362,375,1
362,376,1
362,377,1
362,378,1
362,379,1
362,380,1
362,381,1
362,382,1
362,383,1
362,384,1
362,385,1
362,386,1
362,387,1
362,388,1
362,389,1
362,390,1
362,391,1
362,392,1
362,393,1
362,394,1
362,395,1
362,396,1
362,397,1
362,398,1
362,399,1
362,400,1
362,401,1
362,402,1
362,403,1
362,404,1
362,405,1
362,406,1
407,408,1
409,410,1
409,411,1
409,412,1
409,413,1
409,36,1
409,414,1
409,415,1
409,416,1
409,417,1
409,418,1
409,419,1
409,420,1
409,421,1
409,422,1
409,423,1
409,424,1
409,425,1
409,426,1
409,427,1
409,428,1
409,429,1
409,430,1
409,431,1
409,432,1
409,433,1
409,434,1
409,435,1
409,436,1
409,437,1
409,438,1
409,439,1
409,440,1
409,441,1
409,442,1
409,443,1
409,444,1
409,445,1
409,446,1
409,447,1
409,448,1
409,449,1
409,450,1
409,451,1
409,452,1
409,453,1
409,454,1
409,455,1
409,456,1
409,457,1
409,458,1
409,459,1
409,460,1
409,461,1
409,462,1
409,463,1
409,464,1
409,465,1
409,466,1
409,467,1
409,468,1
409,469,1
409,470,1
409,471,1
409,472,1
409,473,1
409,474,1
409,475,1
409,476,1
409,477,1
409,478,1
409,479,1
409,480,1
409,481,1
409,482,1
409,483,1
409,484,1
409,485,1
409,486,1
409,487,1
409,488,1
409,489,1
409,490,1
409,491,1
409,492,1
409,493,1
409,494,1
409,495,1
409,496,1
409,497,1
409,498,1
409,499,1
409,500,1
409,501,1
409,502,1
409,503,1
409,504,1
409,505,1
409,506,1
409,507,1
409,508,1
409,509,1
409,510,1
513,514,1
513,515,1
513,516,1
513,517,1
513,518,1
513,519,1
513,520,1
513,521,1
513,522,1
513,523,1
513,524,1
513,525,1
513,526,1
513,527,1
513,528,1
513,529,1
513,530,1
513,531,1
513,532,1
513,533,1
513,534,1
513,535,1
513,536,1
513,537,1
513,538,1
513,539,1
513,540,1
513,541,1
513,542,1
513,543,1
513,544,1
513,545,1
513,546,1
513,547,1
513,548,1
513,549,1
513,550,1
513,551,1
513,552,1
513,553,1
513,554,1
513,555,1
513,556,1
513,557,1
513,558,1
513,559,1
513,560,1
513,561,1
562,563,1
562,564,1
562,565,1
562,566,1
562,567,1
562,568,1
562,569,1
562,570,1
562,571,1
562,572,1
562,573,1
562,574,1
562,575,1
562,576,1
562,577,1
562,578,1
562,579,1
562,580,1
562,581,1
562,582,1
562,583,1
562,584,1
562,585,1
562,586,1
562,587,1
562,588,1
562,589,1
590,591,1
590,592,1
590,593,1
590,594,1
590,595,1
590,596,1
590,346,1
590,597,1
590,598,1
590,599,1
590,600,1
590,601,1
590,136,1
590,602,1
590,603,1
590,604,1
590,605,1
590,606,1
590,607,1
590,608,1
590,609,1
590,610,1
590,611,1
590,612,1
590,613,1
590,213,1
590,614,1
590,615,1
590,616,1
590,143,1
590,144,1
590,617,1
590,618,1
590,619,1
590,620,1
590,621,1
590,622,1
590,623,1
590,624,1
590,625,1
590,626,1
590,627,1
590,628,1
590,629,1
590,630,1
590,631,1
590,632,1
590,633,1
590,634,1
590,635,1
590,636,1
590,637,1
590,638,1
590,639,1
590,640,1
590,641,1
590,642,1
590,643,1
590,644,1
590,645,1
590,646,1
590,647,1
590,648,1
590,649,1
590,650,1
590,651,1
590,652,1
590,653,1
590,654,1
590,655,1
590,656,1
590,657,1
590,658,1
590,659,1
590,660,1
590,661,1
590,662,1
590,663,1
590,664,1
590,665,1
590,666,1
590,667,1
590,668,1
590,669,1
590,670,1
590,671,1
590,672,1
590,673,1
590,674,1
590,675,1
590,676,1
590,677,1
590,678,1
590,679,1
590,680,1
590,681,1
590,682,1
590,683,1
590,684,1
590,685,1
590,686,1
590,687,1
590,688,1
590,689,1
590,690,1
590,691,1
590,692,1
590,693,1
590,694,1
590,695,1
590,696,1
590,697,1
590,698,1
590,699,1
590,700,1
590,701,1
590,702,1
590,703,1
590,704,1
590,705,1
590,706,1
707,708,1
707,709,1
707,710,1
707,711,1
707,712,1
707,713,1
707,714,1
707,715,1
707,716,1
707,717,1
707,718,1
707,719,1
707,720,1
707,721,1
722,723,1
722,724,1
722,725,1
722,726,1
722,727,1
722,728,1
730,731,1
730,732,1
730,733,1
730,734,1
730,735,1
730,736,1
730,737,1
730,738,1
730,739,1
730,740,1
730,608,1
730,741,1
730,742,1
730,610,1
730,743,1
730,744,1
730,745,1
730,746,1
730,747,1
730,748,1
730,749,1
730,144,1
730,750,1
730,751,1
730,752,1
730,753,1
730,754,1
730,755,1
730,756,1
730,757,1
730,758,1
730,759,1
730,760,1
730,761,1
730,762,1
730,763,1
730,764,1
730,765,1
730,766,1
730,767,1
730,768,1
730,769,1
730,770,1
730,771,1
730,772,1
730,773,1
730,774,1
730,775,1
730,776,1
730,777,1
730,778,1
730,779,1
730,780,1
730,781,1
730,782,1
730,640,1
730,783,1
730,784,1
730,785,1
730,786,1
730,787,1
730,788,1
730,789,1
730,790,1
730,791,1
730,792,1
730,793,1
730,794,1
730,795,1
730,796,1
730,797,1
730,798,1
730,799,1
730,800,1
730,801,1
730,802,1
730,803,1
730,804,1
730,805,1
730,806,1
730,807,1
730,808,1
730,809,1
730,810,1
730,811,1
730,812,1
730,813,1
730,814,1
730,815,1
730,816,1
730,817,1
730,818,1
730,819,1
730,820,1
730,821,1
730,822,1
730,823,1
730,824,1
730,825,1
730,826,1
730,827,1
730,828,1
730,829,1
730,830,1
730,831,1
730,832,1
730,833,1
730,834,1
730,835,1
730,836,1
730,837,1
730,838,1
730,839,1
730,840,1
730,841,1
730,842,1
730,843,1
730,844,1
730,845,1
730,846,1
730,847,1
730,848,1
730,302,1
730,849,1
730,850,1
730,851,1
730,852,1
730,853,1
730,854,1
730,855,1
730,856,1
730,857,1
730,858,1
730,859,1
730,860,1
730,861,1
730,862,1
730,863,1
730,864,1
730,865,1
730,866,1
730,867,1
730,868,1
730,869,1
730,870,1
730,871,1
730,872,1
730,873,1
730,874,1
730,875,1
730,876,1
730,877,1
730,878,1
730,879,1
730,880,1
730,881,1
730,882,1
730,883,1
730,884,1
730,885,1
730,886,1
730,887,1
730,888,1
730,889,1
730,890,1
730,891,1
730,892,1
730,893,1
730,894,1
730,895,1
730,896,1
730,897,1
730,898,1
730,899,1
730,900,1
730,901,1
730,902,1
730,903,1
730,904,1
730,905,1
730,906,1
730,907,1
730,908,1
730,909,1
730,910,1
730,911,1
730,912,1
730,913,1
730,914,1
730,915,1
730,916,1
730,917,1
730,918,1
730,919,1
730,920,1
730,921,1
730,922,1
730,923,1
730,924,1
730,925,1
730,926,1
730,927,1
730,928,1
730,929,1
730,930,1
730,931,1
730,932,1
730,933,1
730,934,1
730,935,1
730,936,1
730,937,1
730,938,1
730,939,1
730,940,1
730,941,1
730,942,1
730,943,1
730,944,1
730,945,1
730,946,1
730,947,1
730,948,1
730,949,1
730,950,1
730,951,1
730,952,1
730,953,1
730,954,1
730,955,1
730,956,1
730,957,1
730,958,1
730,959,1
730,960,1
730,961,1
730,962,1
730,963,1
730,964,1
730,965,1
730,966,1
730,967,1
730,968,1
730,969,1
730,970,1
730,971,1
730,972,1
730,973,1
730,974,1
730,975,1
730,976,1
730,977,1
730,978,1
979,980,1
982,983,1
982,984,1
982,985,1
982,986,1
982,987,1
982,988,1
982,989,1
990,991,1
990,992,1
990,993,1
990,994,1
990,144,1
990,614,1
990,995,1
990,996,1
990,997,1
990,998,1
990,999,1
990,1000,1
990,1001,1
990,765,1
990,1002,1
990,1003,1
990,1004,1
990,1005,1
990,1006,1
990,1007,1
990,1008,1
990,1009,1
990,1010,1
990,1011,1
990,1012,1
990,647,1
990,1013,1
990,1014,1
990,1015,1
990,1016,1
990,1017,1
990,1018,1
990,1019,1
990,1020,1
990,1021,1
990,1022,1
990,1023,1
990,1024,1
990,1025,1
990,1026,1
990,1027,1
990,1028,1
990,1029,1
990,1030,1
990,1031,1
990,1032,1
990,1033,1
990,1034,1
990,1035,1
990,1036,1
990,1037,1
990,1038,1
990,1039,1
990,1040,1
990,1041,1
990,1042,1
990,1043,1
990,1044,1
990,1045,1
990,1046,1
990,1047,1
990,1048,1
990,1049,1
990,1050,1
990,1051,1
990,1052,1
990,1053,1
990,1054,1
990,1055,1
990,1056,1
990,1057,1
990,1058,1
990,1059,1
990,1060,1
990,1061,1
990,1062,1
990,1063,1
990,1064,1
990,683,1
990,1065,1
990,253,1
990,1066,1
990,1067,1
990,1068,1
990,1069,1
990,1070,1
990,1071,1
990,1072,1
990,1073,1
990,1074,1
990,1075,1
990,1076,1
990,1077,1
990,1078,1
990,1079,1
990,1080,1
990,1081,1
990,1082,1
990,1083,1
990,1084,1
990,302,1
990,1085,1
990,1086,1
990,1087,1
990,1088,1
990,1089,1
990,1090,1
990,1091,1
990,1092,1
990,1093,1
990,1094,1
990,1095,1
990,1096,1
990,1097,1
990,1098,1
990,1099,1
990,1100,1
990,1101,1
990,1102,1
990,1103,1
990,1104,1
990,1105,1
990,1106,1
990,1107,1
990,1108,1
990,1109,1
990,1110,1
990,1111,1
990,1112,1
990,1113,1
990,606,1
990,1114,1
990,1115,1
990,1116,1
990,1117,1
990,1118,1
990,1119,1
990,1120,1
990,1121,1
990,1122,1
990,1123,1
990,1124,1
990,1125,1
990,1126,1
990,1127,1
990,1128,1
990,1129,1
990,1130,1
990,1131,1
990,591,1
990,667,1
990,1132,1
990,1133,1
990,1134,1
990,1135,1
990,1136,1
990,928,1
990,1137,1
990,1138,1
990,1139,1
990,1140,1
990,292,1
990,1141,1
990,1142,1
990,1143,1
990,1144,1
990,1145,1
990,1146,1
990,1147,1
990,1148,1
990,1149,1
990,1150,1
990,1151,1
990,1152,1
990,1153,1
990,1154,1
990,1155,1
990,1156,1
990,1157,1
990,1158,1
990,1159,1
990,1160,1
990,1161,1
990,1162,1
990,1163,1
990,1164,1
990,1165,1
990,1166,1
990,1167,1
990,1168,1
990,1169,1
990,1170,1
990,1171,1
990,1172,1
990,1173,1
990,1174,1
990,1175,1
990,757,1
990,1176,1
990,756,1
990,1177,1
990,1178,1
990,1179,1
990,1180,1
990,1181,1
990,1182,1
990,1183,1
990,1184,1
990,1185,1
990,1186,1
990,1187,1
990,1188,1
990,1189,1
990,1190,1
990,1191,1
990,1192,1
990,1193,1
990,1194,1
990,1195,1
990,1196,1
990,1197,1
990,1198,1
990,1199,1
990,1200,1
990,640,1
990,1201,1
990,1202,1
990,1203,1
990,1204,1
990,1205,1
990,1206,1
990,1207,1
990,1208,1
990,1209,1
990,1210,1
990,1211,1
990,1212,1
990,1213,1
990,1214,1
990,1215,1
990,1216,1
990,1217,1
990,1218,1
990,1219,1
990,1220,1
