actor_id	rank
7	1.6187909831663604e-08
17	1.7010200193100165e-08
22	2.0432452344849413e-08
45	2.45167872361879e-08
47	1.3479851894534784e-08
69	2.0081778939295147e-08
72	1.5669539552943908e-08
75	3.7202008962442246e-08
78	2.0683641420409603e-08
80	3.686811105949589e-08
82	1.5828012746673385e-08
108	1.3479851894534784e-08
117	1.3479851894534784e-08
132	3.5448648521720556e-08
134	1.6776054610495302e-08
139	3.652210687645784e-08
141	1.3479851894534784e-08
147	1.744354016636233e-08
154	2.2777735418478916e-07
159	2.4211256110909594e-08
188	3.2107963146074594e-08
198	1.3479851894534784e-08
211	3.5461124083012976e-08
215	2.0262072022373617e-08
216	1.4970135311516735e-07
233	2.5076732644597364e-08
235	1.3479851894534784e-08
257	1.548957367965882e-08
269	1.5033244918168503e-08
278	1.3782625437241972e-07
287	6.075943353750031e-08
300	2.0937500955445162e-08
318	1.5569654219992984e-08
331	1.7927026014345473e-08
346	1.6814586414740924e-08
353	2.1477649692102127e-08
354	1.738453090617635e-08
384	2.7622571061050787e-08
405	1.951515083811876e-08
415	3.0899419031693996e-08
420	1.65280811083104e-08
423	2.3763535799536102e-08
425	1.6356637194774524e-08
435	2.1123969088120895e-08
452	9.533200188054582e-08
461	1.9332265133139258e-08
468	2.319456274041388e-08
475	1.934160550002043e-08
476	1.4821560183069241e-08
499	2.9594207313766107e-08
500	2.32350596978731e-08
505	1.3479851894534784e-08
509	1.3479851894534784e-08
518	2.7710008441864002e-08
533	5.470639345619541e-08
563	1.3479851894534784e-08
593	1.3479851894534784e-08
598	2.288250338636262e-08
640	2.9502705178124443e-08
658	3.083491245082196e-08
669	2.9241140362651566e-08
674	1.3479851894534784e-08
690	3.117729905698296e-08
693	2.077186136977923e-08
716	2.6693199004603244e-08
752	4.735179729767375e-08
772	1.1164276220198104e-07
797	5.631747540615323e-08
806	3.8490743592964096e-08
837	1.7092968941862196e-08
842	1.6091697276053446e-08
843	1.636439642248194e-08
869	2.414807145412342e-08
886	2.2854598474912636e-08
887	1.0491951094256812e-07
924	1.3479851894534784e-08
947	1.8051185902933178e-08
955	1.6099346579936802e-08
988	1.8401270269310202e-08
990	1.6640673873424474e-08
1000	1.8970507164457482e-08
1022	1.730007891429894e-08
1042	3.1383061574405e-08
1050	2.824855497670965e-08
1051	2.5149860836459807e-08
1059	2.9532171088726874e-08
1060	1.936115625533764e-08
1061	1.3479851894534784e-08
1084	1.5567776011449145e-08
1090	5.749690321627273e-08
1106	4.230602193156939e-08
1107	3.812566342192749e-08
1112	1.7305999651879315e-08
1113	1.3479851894534784e-08
1134	2.9914393877862884e-08
