,actor_id,org_id
0,5368863,32805087
80,5368863,393552
128,5368863,16785467
129,5368863,33470005
133,5368888,69631
134,5368888,6128107
135,5368888,19211038
136,5368888,23360933
140,5368894,18085742
157,5368897,70142
161,5368903,6453780
172,5368926,107424
182,5368963,19329613
184,5368975,313839
185,5368975,199122
186,5368975,10251060
188,5368975,6191378
189,5368975,7125868
190,5368975,69631
191,5368975,8325802
192,5368975,5055057
196,5368975,37521022
198,5368975,13059131
199,5368975,13659461
206,5368975,8089668
210,5368975,26799900
211,5368975,27908738
212,5368975,46776614
214,5368975,16867953
221,5368975,51644128
222,5368975,30317862
224,5368975,12554859
227,5368975,11823761
230,5368975,59452120
236,5368983,27072661
245,5368984,18183427
249,5368997,7722711
251,5368997,15658638
254,5368997,13495210
256,5369013,15786759
261,5369013,7628018
262,5369013,3440434
264,5369013,1015767
272,5369013,8931462
273,5369013,28732122
275,5369013,6155357
276,5369013,34207939
288,5369016,23484962
517,5369033,698437
538,5369035,5446553
539,5369035,13499891
562,5369040,8214475
564,5369061,624178
565,5369096,40190352
569,5369157,1483254
571,5369163,1918868
590,5369192,13668770
603,5369209,5324394
612,5369258,352162
613,5369258,9056627
619,5369296,8023285
620,5369296,17187941
622,5369319,33093700
650,5369322,5826089
680,5369371,10639145
681,5369371,13057332
684,5369376,60445981
716,5369411,48876650
724,5369412,47825202
739,5369416,6154722
788,5369444,9865736
792,5369468,43614972
830,5369495,53097956
832,5369495,55557837
833,5369495,57116299
850,5369497,24189473
858,5369497,33329138
860,5369501,15028855
869,5369553,6289855
870,5369553,19822348
871,5369553,29663204
880,5369592,19653660
881,5369599,17189275
882,5369599,41077760
886,5369629,5421000
894,5369637,869814
897,5369637,48898462
903,5369637,60278728
905,5369655,513560
937,5369786,19970233
940,5369802,10203055
943,5369810,8482050
971,5369810,41419422
1022,5369902,11434929
1040,5370017,18032245
1041,5370017,20269980
1045,5370023,1539555
1047,5370088,4652787
1048,5370088,18713232
1050,5370088,684879
1054,5370088,15639068
1057,5370088,3002971
1059,5370088,3179841
1060,5370088,3028687
1069,5370088,2925517
