actor_id,_c1
49699333,99846041
41898282,43160491
39814207,11197128
8517910,11092002
27856297,7703598
29139614,7637747
10810283,5847038
74113347,4130694
35613825,4012220
25180681,2904765
37936606,2886157
68417258,2285491
58833107,2275708
80952336,2254923
53108186,1613468
92907907,1552797
71354125,1432642
74347264,1180677
52290251,1165088
74294005,1159317
65212910,1015286
39514782,1010911
79913779,859042
22429695,848189
61843437,838941
79902039,822182
77938843,781224
93363080,755833
45942572,744721
71103415,731114
75841818,712523
74294145,675862
249955,669994
75433959,649332
81258380,605248
76970935,566923
66690702,541424
40586421,537669
68243773,533340
37929162,531332
87927395,527559
19733683,523063
209139,522236
29708070,504725
54281882,496315
40918737,490320
37845953,490182
43733305,487248
615952,483734
58094558,481577
2687598,478418
78728577,467012
16239342,465302
94719717,455618
40587912,453932
524596,453074
53265741,452379
55914069,449955
60825784,443907
35160942,438488
3455449,431587
66055060,420434
24226219,411592
26902309,409304
65566012,406360
69178431,402926
72747630,402374
42283162,402349
59847353,401953
84948785,399353
43047562,396473
38429025,388807
85441621,388669
1494693,386393
26634292,382512
60003240,374431
86326137,370980
70911038,365999
87753227,364124
63054031,351135
60193503,349764
42575254,349069
62687145,348649
4502793,348213
87852462,340720
31301654,330775
31049082,329889
20407524,321112
88047089,320168
64357205,316580
49695357,315599
87852675,312447
775050,311450
16672,305606
26384082,300343
6268905,294607
40209326,290242
1405982,288484
53307937,286138
77521350,284981
23717796,284820
95848666,282192
533180,279400
42819689,277535
6749661,277137
22233835,276360
693300,275603
22763678,272597
57621064,264789
17869732,263779
69189149,260118
52416426,259675
82020194,254969
65091038,253228
49569721,250436
12084677,247415
88182477,242208
65553080,241999
36490558,241670
11215289,240338
96052245,240186
17193977,238270
4170616,236161
28653235,235928
16075726,234182
1779249,233411
79544226,233306
87981906,222768
6010774,221549
30538765,219982
30536864,219640
30537854,219362
88123115,219111
87541280,218963
7571158,217730
52211928,216012
85977393,212787
75147517,212133
94089796,211173
61666776,207757
81326549,203451
13025337,201938
49736102,200083
182601,200047
48340428,198210
36754821,197255
60849980,193469
18148588,192969
11835852,192749
85111447,191178
77541755,190045
93337133,189605
68130091,188760
71122198,188716
56741989,188433
2354108,186668
69382749,185725
24311286,185721
32148415,183530
85989057,183129
46922385,182355
5637090,182258
72232928,181996
30685060,181869
1268384,181364
6422482,180298
62896096,177336
30523469,177253
93077200,175899
93272879,174491
93274656,173113
48495458,171591
49086411,170391
18682836,169918
37070655,169276
95762975,169043
30008653,168991
76997679,166889
18567580,165163
59435267,163770
12962539,163045
16837285,162604
8589138,161668
95763268,161207
95762500,161088
6274807,160227
58334128,159322
69158844,159097
79405221,159038
95763539,158103
17928155,157177
9011267,156851
2299951,156330
54288333,152304
95762110,151514
78931514,149705
23248333,148337
47844,147614
26334818,147180
79485442,146584
60162190,146207
87916666,145748
1893606,144591
36315888,144168
22779605,144150
90965828,142457
67868262,141724
88618086,138937
50673670,138314
88552392,138287
69691878,138086
88569843,137904
16888349,137890
158862,137618
88953461,137457
71242396,137081
88575217,136835
88954328,136434
88953919,136293
88937547,136187
78093351,135740
1081405,134877
44153440,134007
44937958,133916
88954462,133097
96464003,132995
69305905,130986
88955030,129041
93501464,126515
36771401,125942
68362169,124829
42928436,124375
90667938,123917
7587960,123865
38356640,123825
51229763,123353
1750815,122427
2539292,122355
1355668,121896
15837671,121279
7648032,121262
82876799,120937
75995199,119728
75385594,119140
84711599,118770
48569085,118711
33073314,118215
11394046,118031
21693654,117748
13046352,117589
1086734,117449
89621771,115767
77945335,115535
1541139,115497
21194285,115250
42136882,115248
88277076,115023
77945195,113738
58698531,113670
76157401,113148
3358783,112921
7911893,111934
79381923,111881
30189218,111745
42748379,111575
64729760,111331
66310040,111238
89670698,110891
51150235,110103
73459041,109239
86405567,109017
84711282,108969
10641117,108959
6948709,108923
62543621,108822
67596509,108113
10616960,107567
61555147,107261
93501127,105813
76849071,105345
14346011,105263
27874591,104380
84461070,104340
50618606,104086
42314067,103975
40487135,103788
67475495,103750
30030348,103501
33906690,103390
42973632,103387
55858104,103211
95566469,103023
46582385,102993
31858072,102321
88866985,101913
37958125,101787
973860,100896
68422247,100457
87437060,100152
1686007,99744
62039782,99274
46637781,99000
43880903,98962
880687,98377
58596630,97978
60107403,97540
50076953,97299
82299066,97280
1993032,97031
79414145,96296
83878460,96115
1565469,96033
41286756,95831
67907656,95701
3490170,95530
38232645,95475
68449029,95444
11618900,95412
13641195,95343
88265984,95277
73120837,94907
40143,94649
63786291,94214
26013935,93249
57493545,92806
30189103,92760
44063331,92095
38448558,91890
84711032,91862
2673952,91807
75393053,91175
40737334,91113
4994415,90446
80650278,89619
50554310,89413
686971,89359
20797196,89304
1589480,89298
32688539,87511
67564159,86923
7548378,86719
39692281,86012
49275095,85721
65933340,84380
85705427,83957
2544838,83646
93090862,83063
63816999,82814
6717350,82755
48402225,82269
44816363,82189
11312017,82103
40892157,81901
18329103,81652
93721828,81564
56100,81480
1497628,81172
65541893,81123
55673885,80936
1313844,80765
87618423,80661
44202845,80465
541490,80333
25397800,79907
1198649,79824
5184102,79649
16960717,79577
53298340,79479
79124015,79257
72732935,78560
4977902,78465
25820987,78389
26595624,77734
458209,77644
11571300,77092
83658973,76842
72442372,76633
54552313,76346
24929979,76295
80889358,75964
47669903,75928
53356347,75565
25687724,75500
95277334,75482
58020879,75478
80751634,75186
58626192,74740
93902485,74668
96603710,74582
4718607,74520
694745,74371
35857100,74214
96603937,74021
86369174,73517
49162410,73213
62702977,73031
15531173,73008
96604041,72773
43336822,71520
34882892,71185
78190523,71004
20825951,70958
1957667,70091
40047452,70028
82252451,69760
46447321,69485
57268788,69460
78190276,69270
33500389,68827
13435983,68377
81762750,68168
78190696,67897
26046410,67857
50079005,67742
46681084,67678
