Source,Target,Type,Id,Label,timeset,Weight
1,2,Undirected,0,,,2768273920
1,3,Undirected,1,,,674149376
1,4,Undirected,2,,,2363500
1,5,Undirected,3,,,2670997760
1,6,Undirected,4,,,1042450624
1,9,Undirected,5,,,573455104
1,10,Undirected,6,,,4217546
1,11,Undirected,7,,,850716
1,15,Undirected,8,,,42
1,17,Undirected,9,,,526
1,18,Undirected,10,,,382306
1,22,Undirected,11,,,716939456
1,24,Undirected,12,,,561421632
1,29,Undirected,13,,,323176
1,30,Undirected,14,,,1904
1,33,Undirected,15,,,40974
1,34,Undirected,16,,,71008944
1,37,Undirected,17,,,14250
1,40,Undirected,18,,,749280064
1,42,Undirected,19,,,17329896
1,43,Undirected,20,,,228
1,44,Undirected,21,,,24780
1,47,Undirected,22,,,4170760
1,49,Undirected,23,,,36
1,51,Undirected,24,,,956836
1,53,Undirected,25,,,14189492
1,56,Undirected,26,,,6484
1,60,Undirected,27,,,24
1,61,Undirected,28,,,15360
1,63,Undirected,29,,,4
1,64,Undirected,30,,,27786
1,65,Undirected,31,,,47116
1,68,Undirected,32,,,504
1,71,Undirected,33,,,4017958
1,75,Undirected,34,,,69302288
1,80,Undirected,35,,,3660
1,81,Undirected,36,,,258146
1,84,Undirected,37,,,104024
1,85,Undirected,38,,,22
1,86,Undirected,39,,,5547684
1,87,Undirected,40,,,12
1,88,Undirected,41,,,35372408
1,93,Undirected,42,,,1072
1,94,Undirected,43,,,1233100
1,95,Undirected,44,,,62325712
1,96,Undirected,45,,,632
1,97,Undirected,46,,,76923416
1,98,Undirected,47,,,2096
1,99,Undirected,48,,,68
1,100,Undirected,49,,,12
1,101,Undirected,50,,,41004408
1,103,Undirected,51,,,15554
1,104,Undirected,52,,,41686360
1,106,Undirected,53,,,70
1,109,Undirected,54,,,4715450
1,110,Undirected,55,,,52
1,118,Undirected,56,,,120227576
1,120,Undirected,57,,,320
1,123,Undirected,58,,,277592
1,124,Undirected,59,,,446334
1,125,Undirected,60,,,15760
1,126,Undirected,61,,,20667836
1,127,Undirected,62,,,9686
1,128,Undirected,63,,,48
1,129,Undirected,64,,,21660
1,135,Undirected,65,,,16142
1,143,Undirected,66,,,267025616
1,144,Undirected,67,,,230
1,145,Undirected,68,,,13370306
1,146,Undirected,69,,,109927128
1,149,Undirected,70,,,466
1,155,Undirected,71,,,3210652
1,156,Undirected,72,,,136943344
1,158,Undirected,73,,,2810748
1,161,Undirected,74,,,3760
1,162,Undirected,75,,,234
1,165,Undirected,76,,,162
1,166,Undirected,77,,,28435548
1,168,Undirected,78,,,146
1,172,Undirected,79,,,336
1,174,Undirected,80,,,18586
1,177,Undirected,81,,,11544842
1,180,Undirected,82,,,405008
1,182,Undirected,83,,,754578
1,183,Undirected,84,,,3962
1,186,Undirected,85,,,262466
1,192,Undirected,86,,,13137424
1,193,Undirected,87,,,19206
1,197,Undirected,88,,,109515696
1,198,Undirected,89,,,674382
1,201,Undirected,90,,,415794
1,205,Undirected,91,,,706086
1,208,Undirected,92,,,8
1,209,Undirected,93,,,7740356
1,211,Undirected,94,,,50
1,213,Undirected,95,,,272
1,214,Undirected,96,,,26212184
1,216,Undirected,97,,,6149692
1,217,Undirected,98,,,88
1,219,Undirected,99,,,94
1,222,Undirected,100,,,314
1,224,Undirected,101,,,10
1,230,Undirected,102,,,20520836
1,231,Undirected,103,,,38654
1,232,Undirected,104,,,1254442
1,234,Undirected,105,,,356
1,237,Undirected,106,,,26704
1,238,Undirected,107,,,1851628
1,239,Undirected,108,,,678798
1,240,Undirected,109,,,1051430
1,241,Undirected,110,,,450994
1,247,Undirected,111,,,126720
1,254,Undirected,112,,,1250374
1,255,Undirected,113,,,2670
1,262,Undirected,114,,,12
1,264,Undirected,115,,,12936202
1,265,Undirected,116,,,3265152
1,266,Undirected,117,,,2536
1,273,Undirected,118,,,380
1,274,Undirected,119,,,74798
1,276,Undirected,120,,,136
1,277,Undirected,121,,,238
1,278,Undirected,122,,,2868
1,280,Undirected,123,,,5554
1,281,Undirected,124,,,48
1,282,Undirected,125,,,960
