Id,Label,timeset,degree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,clustering,triangles,eigencentrality,modularity_class,stat_inf_class
1,1,,472,12795258262,4,0.795426,0.875266,48839.14348,0.065521,7283,0.971758,15,31
2,2,,431,1.87891E+11,4,0.752404,0.841454,31848.51467,0.0773,7163,0.952318,15,16
3,3,,79,1699219386,4,0.525609,0.55844,580.17169,0.39273,1210,0.325928,15,50
4,4,,1,2363500,5,0.443343,0.458919,0,0,0,0.012123,15,59
5,5,,189,4328155196,4,0.580167,0.646832,1615.50557,0.257627,4577,0.679958,15,55
6,6,,183,6348059576,4,0.576959,0.642039,2565.998112,0.257972,4296,0.653307,15,62
9,9,,149,3708557530,4,0.559428,0.614883,1948.838085,0.324052,3573,0.585781,15,36
10,10,,42,111228048,4,0.507705,0.527556,18.231673,0.727062,626,0.248555,8,19
11,11,,34,15173274,4,0.50362,0.520634,644.235828,0.734403,412,0.190411,11,19
15,15,,7,262,4,0.487539,0.495341,0,1,21,0.066521,15,56
17,17,,4,540,5,0.447462,0.463978,0,1,6,0.032689,15,9
18,18,,6,1.21078E+11,5,0.466121,0.479952,1258.670766,0.333333,5,0.032045,0,9
22,22,,121,2274000582,4,0.545772,0.592519,519.108905,0.393388,2856,0.516277,15,17
24,24,,207,2481741826,4,0.589454,0.660942,1786.106276,0.241687,5153,0.728174,15,57
29,29,,2,5066682472,5,0.443657,0.459718,0,1,1,0.012399,12,31
30,30,,3,640016,4,0.485271,0.491613,0,1,3,0.036398,15,14
33,33,,6,1414270,4,0.480061,0.489483,0.2,0.933333,14,0.045872,15,9
34,34,,30,18142599452,4,0.5004,0.516374,6.975892,0.832184,362,0.19101,3,24
37,37,,14,87912,4,0.491752,0.501997,49.39116,0.868132,79,0.099383,15,50
40,40,,99,2032725014,4,0.5355,0.574947,354.803718,0.495362,2403,0.469459,15,11
42,42,,136,66021276,4,0.553492,0.604766,1157.863231,0.357407,3281,0.557598,15,9
43,43,,9,1604,4,0.4883,0.496938,0.187019,0.916667,33,0.077693,15,12
44,44,,69,1379308,4,0.516076,0.547258,103.077503,0.567775,1332,0.346745,15,30
47,47,,9,8048716726,4,0.487919,0.496672,0,1,36,0.061785,20,22
49,49,,4,3765505576,4,0.479693,0.488152,625,0.5,3,0.032511,1,14
51,51,,1,956836,5,0.443343,0.458919,0,0,0,0.012123,15,59
53,53,,57,161407966,4,0.515226,0.540335,707.02765,0.70614,1127,0.329436,15,10
56,56,,31,1382582,4,0.5,0.51664,22.565617,0.737634,343,0.192088,4,64
60,60,,5,26216,4,0.48043,0.489217,0.114719,0.9,9,0.041546,15,37
61,61,,85,237062,4,0.526493,0.562167,166.2914,0.526331,1879,0.422505,15,1
63,63,,2,46,4,0.478228,0.486022,0,1,1,0.024646,15,14
64,64,,20,363164,4,0.494862,0.507322,7.421442,0.778947,148,0.126689,15,34
65,65,,90,178156,4,0.528716,0.566161,108.353833,0.56779,2274,0.45619,15,49
68,68,,1,504,5,0.443343,0.458919,0,0,0,0.012123,15,59
71,71,,28,29319334,4,0.5008,0.515575,1.066767,0.949735,359,0.208942,15,2
75,75,,60,458798362,4,0.515651,0.542199,47.369062,0.681356,1206,0.341896,15,2
80,80,,20,75641436,4,0.494081,0.506789,32.916172,0.9,171,0.127372,15,39
81,81,,4,1594774036,4,0.485648,0.492412,0,1,6,0.04094,15,43
84,84,,6,2707003804,5,0.44939,0.46664,0.035131,0.933333,14,0.032065,18,50
85,85,,2,24,4,0.478228,0.486022,0,1,1,0.024646,15,14
86,86,,129,2233822676,4,0.549605,0.598908,572.099467,0.387234,3197,0.546795,15,15
87,87,,11,118047142,4,0.489828,0.499068,0.197019,0.927273,51,0.08518,15,23
88,88,,38,252376116,4,0.505654,0.524095,18.637503,0.711238,500,0.226728,15,24
93,93,,15,3204,4,0.491366,0.502263,0.242331,0.933333,98,0.115454,15,39
94,94,,56,1285952,4,0.513536,0.538738,38.452214,0.648701,999,0.313357,15,44
95,95,,209,1113402856,4,0.592242,0.663339,4062.340526,0.230999,5021,0.717497,15,3
96,96,,31,13284,4,0.499203,0.516108,4.944732,0.886022,412,0.203983,15,69
97,97,,133,539983066,4,0.550572,0.601571,710.209962,0.365231,3206,0.550653,15,18
98,98,,27,5758,4,0.498805,0.513711,6.537403,0.823362,289,0.184723,15,47
99,99,,11,5688,4,0.489445,0.498802,0.018519,0.981818,54,0.089798,15,2
100,100,,11,750,4,0.491366,0.500133,0.059332,0.981818,54,0.09162,15,40
101,101,,76,239527786,4,0.525168,0.556576,99.658665,0.589825,1681,0.385534,11,43
103,103,,97,179152,4,0.532313,0.572018,231.012688,0.493557,2298,0.461776,15,65
104,104,,70,214934920,4,0.522538,0.551784,92.65771,0.619876,1497,0.35991,15,50
106,106,,19,803850,4,0.495645,0.507322,2.079522,0.865497,148,0.139966,15,58
109,109,,500,33115262,3,0.826948,0.89803,52573.91869,0.060273,7519,1,15,63
110,110,,8,1250,4,0.49098,0.498269,0,1,28,0.079041,15,21
118,118,,182,342483410,4,0.576427,0.641241,2909.590908,0.265254,4369,0.660917,15,7
120,120,,2,20944,5,0.463704,0.475958,0,1,1,0.023875,15,59
123,123,,3,504964,4,0.478959,0.487087,0,1,3,0.035983,15,59
124,124,,188,1502438,4,0.577491,0.644968,1688.498592,0.259131,4555,0.672974,15,60
125,125,,10,33828158,4,0.489063,0.498003,0.322206,0.911111,41,0.077887,2,22
126,126,,23,9144941484,4,0.49722,0.510517,5.195955,0.833992,211,0.143465,3,24
127,127,,5,11250,4,0.4883,0.494808,0,1,10,0.050935,15,62
128,128,,4,564,4,0.485648,0.492412,0,1,6,0.042557,15,54
129,129,,35,401766,4,0.5008,0.519302,12.549653,0.778151,463,0.220698,15,58
135,135,,62,465461226,4,0.516076,0.54353,124.445084,0.557377,1054,0.318194,16,9
143,143,,69,515290936,4,0.518641,0.548855,61.682214,0.653026,1532,0.374111,15,0
144,144,,15,1023212,4,0.493691,0.50386,0.426804,0.904762,95,0.112546,15,52
145,145,,56,23697892588,4,0.510187,0.536608,116.951699,0.51039,786,0.27379,4,22
146,146,,75,663053484,4,0.522538,0.554446,138.642653,0.605045,1679,0.390215,15,43
149,149,,37,2578,4,0.50362,0.522231,12.506875,0.791291,527,0.234886,15,53
155,155,,40,103720504,4,0.506063,0.525426,17.047437,0.701282,547,0.235941,30,64
156,156,,137,299172174,4,0.551542,0.604233,647.664891,0.363675,3388,0.569086,15,35
158,158,,24,216879936,4,0.495645,0.509984,7.624667,0.775362,214,0.146757,4,22
161,161,,14,11236,4,0.491752,0.501997,0.782308,0.934066,85,0.11697,15,54
162,162,,14,1150,4,0.493691,0.503328,0.24558,0.934066,85,0.112523,15,52
165,165,,27,44416,4,0.496038,0.511848,5.026002,0.77208,271,0.163591,4,12
166,166,,50,640409132,4,0.509357,0.532881,20.944368,0.720816,883,0.296107,15,19
168,168,,6,308,4,0.487919,0.495075,0,1,15,0.061028,15,33
172,172,,2,55772,5,0.463704,0.475958,0,1,1,0.023875,15,59
174,174,,2,28174,4,0.478228,0.486022,0,1,1,0.024646,15,59
177,177,,49,85448158,4,0.509357,0.532348,18.312533,0.778912,916,0.285792,11,43
