,month,actor_num,contributor_num,open_issue,issue_comment,open_pull,pr_review,merge_pull,activity
0,20181,18,8,0,1,19,0,15,88
1,20182,144,31,60,204,312,68,292,2116
2,20183,159,27,65,308,494,113,450,3272
3,20184,196,39,69,368,286,228,279,2834
4,20185,174,27,92,271,138,39,120,1265
5,20186,229,43,111,436,308,114,271,2580
6,20187,242,44,113,453,262,67,233,2199
7,20188,229,45,116,624,239,120,243,2539
8,20189,182,27,80,311,119,50,90,1208
9,201810,117,9,69,222,73,5,26,651
10,201811,113,11,57,193,47,1,20,492
11,201812,191,45,53,192,157,56,140,1273
12,20191,227,50,68,320,250,88,215,1988
13,20192,195,34,68,305,255,252,225,2664
14,20193,274,50,85,534,444,463,403,4694
15,20194,259,49,68,426,462,400,412,4372
16,20195,210,36,75,340,411,280,357,3557
17,20196,228,51,43,203,430,303,380,3551
18,20197,199,38,55,250,158,120,136,1586
19,20198,186,40,59,218,214,83,186,1682
20,20199,198,39,57,263,187,133,168,1806
21,201910,157,36,51,171,188,169,183,1879
22,201911,148,27,52,126,237,175,225,2091
23,201912,143,27,38,142,184,113,171,1564
24,20201,96,22,38,52,65,34,65,589
25,20202,77,15,38,56,61,3,58,443
26,20203,103,18,43,97,81,33,70,698
27,20204,128,22,60,257,192,72,138,1517
28,20205,125,23,49,263,138,99,113,1397
29,20206,148,24,68,317,197,143,167,1950
30,20207,150,27,81,346,286,219,243,2728
31,20208,145,22,94,491,209,216,188,2546
32,20209,203,37,96,415,290,528,266,4121
33,202010,127,17,93,378,85,17,75,1037
34,202011,142,17,87,317,107,38,91,1146
35,202012,145,18,77,348,100,80,89,1300
36,20211,109,13,70,281,51,89,42,1014
37,20212,93,13,33,194,70,29,62,710
38,20213,132,21,58,188,98,64,79,1012
39,20214,116,12,57,193,40,48,27,673
40,20215,80,9,44,116,22,8,14,330
41,20216,72,8,49,159,37,3,27,434
42,20217,82,12,57,164,39,2,21,445
43,20218,78,5,47,171,22,0,10,351
44,20219,75,7,39,146,12,4,9,294
45,202110,25,0,10,29,1,0,0,52
46,202111,60,4,26,77,26,0,12,231
