,month,actor_num,contributor_num,open_issue,issue_comment,open_pull,pr_review,merge_pull,activity
0,20186,209,14,178,571,33,1,26,1082
1,20187,146,9,134,455,17,0,11,796
2,20188,120,15,95,455,48,0,36,861
3,20189,184,17,142,492,32,4,26,940
4,201810,198,16,171,591,23,0,18,1038
5,201811,338,24,258,1165,44,1,35,1887
6,201812,357,35,338,1731,48,1,40,2635
7,20191,313,22,242,1129,38,0,25,1777
8,20192,232,14,167,789,26,0,18,1237
9,20193,367,22,306,1383,42,4,31,2199
10,20194,323,20,233,1339,51,6,38,2058
11,20195,379,25,288,1408,51,2,35,2215
12,20196,343,12,294,1533,29,0,16,2240
13,20197,417,28,353,1776,77,3,40,2805
14,20198,318,14,274,1333,53,10,35,2150
15,20199,252,16,156,685,37,5,26,1180
16,201910,232,11,150,788,28,2,17,1214
17,201911,308,26,185,1230,50,16,38,1890
18,201912,319,15,196,1331,50,16,39,2015
19,20201,220,11,140,924,31,14,18,1389
20,20202,226,14,159,923,28,5,20,1385
21,20203,350,35,218,1104,62,13,48,1874
22,20204,352,27,239,1262,83,27,64,2225
23,20205,299,18,182,735,152,9,108,1807
24,20206,344,30,202,636,105,18,99,1625
25,20207,414,23,271,1072,109,17,78,2165
26,20208,308,27,174,627,72,6,55,1325
27,20209,316,21,208,666,90,3,63,1490
28,202010,196,14,103,357,57,15,32,858
29,202011,270,11,165,511,51,1,34,1066
30,202012,274,20,171,519,77,7,54,1228
31,20211,240,19,135,512,70,0,53,1098
32,20212,181,16,117,391,45,1,27,818
33,20213,252,19,151,504,60,5,42,1090
34,20214,277,21,158,588,72,3,60,1252
35,20215,209,16,118,362,59,1,29,837
36,20216,236,14,140,477,51,9,31,1008
37,20217,286,32,172,693,93,40,76,1628
38,20218,245,23,116,411,65,18,65,1040
39,20219,237,22,107,420,79,20,63,1077
40,202110,78,0,33,102,3,0,0,177
41,202111,254,31,114,475,83,83,72,1428
