,month,actor_num,contributor_num,open_issue,issue_comment,open_pull,pr_review,merge_pull,activity
0,20176,29,10,26,51,56,454,41,2169
1,20177,34,8,20,41,21,191,19,946
2,20178,19,7,14,14,23,112,24,607
3,20179,33,11,62,68,71,252,60,1533
4,201710,22,8,30,45,22,169,21,889
5,201711,49,14,49,76,53,89,52,793
6,201712,38,9,30,30,20,27,21,300
7,20182,38,12,31,38,28,85,23,570
8,20183,66,18,57,92,59,168,39,1133
9,20184,68,14,26,67,59,154,34,980
10,20185,54,14,25,57,34,35,24,397
11,20186,71,13,17,41,43,174,31,962
12,20187,74,10,23,78,39,90,23,647
13,20188,81,17,27,220,85,96,76,1065
14,20189,77,21,28,54,77,67,67,743
15,201810,69,19,16,32,52,36,52,468
16,201811,78,16,22,70,43,76,34,615
17,201812,100,19,39,95,42,28,36,483
18,20191,97,20,56,157,65,136,53,1114
19,20192,75,13,39,111,39,21,31,452
20,20193,114,22,59,130,81,155,61,1233
21,20194,134,32,78,160,151,95,127,1403
22,20195,134,32,73,153,92,25,69,813
23,20196,173,43,77,209,203,293,164,2472
24,20197,241,42,136,431,232,198,197,2585
25,20198,223,29,115,510,132,82,97,1658
26,20199,208,43,80,269,147,208,122,1946
27,201910,208,40,74,258,301,264,266,2897
28,201911,161,33,63,175,95,97,76,1126
29,201912,149,28,42,407,97,105,67,1336
30,20201,139,29,27,133,54,110,51,891
31,20202,122,34,29,110,102,41,88,814
32,20203,147,29,40,289,95,12,69,840
33,20204,106,14,41,141,46,4,28,433
34,20205,108,20,23,115,68,55,46,677
35,20206,78,7,36,98,16,9,10,274
36,20207,68,7,38,159,16,3,7,309
37,20208,63,1,29,83,10,23,1,265
38,20209,84,15,25,60,45,21,35,399
39,202010,49,8,10,44,20,4,14,168
40,202011,67,7,22,59,31,9,15,262
41,202012,116,23,23,122,169,409,142,2595
42,20211,97,13,28,102,55,77,36,703
43,20212,74,13,13,63,18,111,21,629
44,20213,23,0,8,27,2,9,0,85
45,20214,19,2,6,7,6,50,4,245
46,20215,24,4,4,16,4,95,5,426
47,20216,23,1,5,18,2,123,1,528
48,20217,26,2,6,27,7,56,5,294
49,20218,8,1,2,8,3,0,2,25
50,20219,19,2,12,12,2,0,2,46
51,202110,4,0,2,2,0,0,0,6
52,202111,34,9,7,8,25,33,22,273
