,month,actor_num,contributor_num,open_issue,issue_comment,open_pull,pr_review,merge_pull,activity
0,20171,91,22,97,487,93,504,66,3108
1,20172,97,15,149,521,93,573,63,3516
2,20173,78,19,105,340,141,657,123,3847
3,20174,61,18,107,279,107,540,93,3160
4,20175,70,26,202,478,160,959,130,5458
5,20176,81,25,194,587,178,1349,122,7149
6,20177,108,28,202,913,229,1414,180,8020
7,20178,110,28,354,1059,307,1350,233,8554
8,20179,126,35,445,962,298,1831,237,10544
9,201710,105,35,318,607,386,1510,323,9087
10,201711,150,43,473,1059,391,1221,333,8728
11,201712,213,37,661,1193,332,1001,288,8091
12,20182,122,35,367,837,260,717,220,5659
13,20183,194,45,522,1376,329,1052,248,8111
14,20184,200,50,314,908,350,777,294,6282
15,20185,193,49,318,1068,392,907,291,7090
16,20186,201,41,285,1029,417,978,328,7418
17,20187,175,39,268,704,294,632,219,5088
18,20188,199,33,229,1033,352,690,246,5799
19,20189,171,43,136,562,391,562,317,4889
20,201810,173,32,133,621,262,543,188,4221
21,201811,227,39,154,818,290,854,225,5862
22,201812,232,45,137,651,249,839,160,5348
23,20191,229,42,171,807,243,960,190,6098
24,20192,203,40,90,520,265,507,190,3903
25,20193,273,49,217,1179,371,988,252,7182
26,20194,300,58,190,860,415,553,304,5305
27,20195,333,65,209,947,373,752,265,6022
28,20196,334,68,208,825,441,786,324,6356
29,20197,350,56,237,1079,283,630,179,5280
30,20198,413,72,248,867,371,500,220,4916
31,20199,405,72,156,813,398,719,295,5785
32,201910,400,85,123,735,664,871,541,7539
33,201911,343,63,152,802,362,734,247,5622
34,201912,357,65,152,812,421,637,306,5539
35,20201,313,64,80,470,286,426,236,3664
36,20202,288,64,83,468,312,450,206,3782
37,20203,362,56,181,806,371,716,227,5599
38,20204,486,96,174,973,757,1170,612,9496
39,20205,382,80,144,1337,373,436,257,5002
40,20206,341,56,170,1181,294,384,189,4317
41,20207,424,68,195,1487,389,966,280,7468
42,20208,566,95,318,2190,613,1802,421,12715
43,20209,497,98,194,1712,694,1230,558,10218
44,202010,424,91,138,1120,445,611,381,5937
45,202011,486,87,375,1795,526,796,368,8043
46,202012,464,86,204,1794,597,638,441,7427
47,20211,439,86,181,1871,554,513,409,6765
48,20212,359,64,150,1250,344,372,244,4558
49,20213,461,78,174,1831,518,877,316,7873
50,20214,510,100,174,1792,534,1027,361,8572
51,20215,400,70,142,1311,339,487,214,4988
52,20216,480,98,138,1573,495,881,377,7612
53,20217,514,95,140,1378,517,696,341,6675
54,20218,831,103,225,2155,496,1204,301,9511
55,20219,734,137,203,2123,719,1638,526,12290
56,202110,184,5,47,549,21,21,6,802
57,202111,828,102,166,2312,651,1086,437,9815
58,20171,91,22,97,487,93,504,66,3108
59,20172,97,15,149,521,93,573,63,3516
60,20173,78,19,105,340,141,657,123,3847
61,20174,61,18,107,279,107,540,93,3160
62,20175,70,26,202,478,160,959,130,5458
63,20176,81,25,194,587,178,1349,122,7149
64,20177,108,28,202,913,229,1414,180,8020
65,20178,110,28,354,1059,307,1350,233,8554
66,20179,126,35,445,962,298,1831,237,10544
67,201710,105,35,318,607,386,1510,323,9087
68,201711,150,43,473,1059,391,1221,333,8728
69,201712,213,37,661,1193,332,1001,288,8091
70,20182,122,35,367,837,260,717,220,5659
71,20183,194,45,522,1376,329,1052,248,8111
72,20184,200,50,314,908,350,777,294,6282
73,20185,193,49,318,1068,392,907,291,7090
74,20186,201,41,285,1029,417,978,328,7418
75,20187,175,39,268,704,294,632,219,5088
76,20188,199,33,229,1033,352,690,246,5799
77,20189,171,43,136,562,391,562,317,4889
78,201810,173,32,133,621,262,543,188,4221
79,201811,227,39,154,818,290,854,225,5862
80,201812,232,45,137,651,249,839,160,5348
81,20191,229,42,171,807,243,960,190,6098
82,20192,203,40,90,520,265,507,190,3903
83,20193,273,49,217,1179,371,988,252,7182
84,20194,300,58,190,860,415,553,304,5305
85,20195,333,65,209,947,373,752,265,6022
86,20196,334,68,208,825,441,786,324,6356
87,20197,350,56,237,1079,283,630,179,5280
88,20198,413,72,248,867,371,500,220,4916
89,20199,405,72,156,813,398,719,295,5785
90,201910,400,85,123,735,664,871,541,7539
91,201911,343,63,152,802,362,734,247,5622
92,201912,357,65,152,812,421,637,306,5539
93,20201,313,64,80,470,286,426,236,3664
94,20202,288,64,83,468,312,450,206,3782
95,20203,362,56,181,806,371,716,227,5599
96,20204,486,96,174,973,757,1170,612,9496
97,20205,382,80,144,1337,373,436,257,5002
98,20206,341,56,170,1181,294,384,189,4317
99,20207,424,68,195,1487,389,966,280,7468
100,20208,566,95,318,2190,613,1802,421,12715
101,20209,497,98,194,1712,694,1230,558,10218
102,202010,424,91,138,1120,445,611,381,5937
103,202011,486,87,375,1795,526,796,368,8043
104,202012,464,86,204,1794,597,638,441,7427
105,20211,439,86,181,1871,554,513,409,6765
106,20212,359,64,150,1250,344,372,244,4558
107,20213,461,78,174,1831,518,877,316,7873
108,20214,510,100,174,1792,534,1027,361,8572
109,20215,400,70,142,1311,339,487,214,4988
110,20216,480,98,138,1573,495,881,377,7612
111,20217,514,95,140,1378,517,696,341,6675
112,20218,831,103,225,2155,496,1204,301,9511
113,20219,734,137,203,2123,719,1638,526,12290
114,202110,184,5,47,549,21,21,6,802
