Month,month,actor_num,contributor_num,open_issue,issue_comment,open_pull,pr_review,merge_pull,activity
0,201901,229,42,171,807,243,960,190,6098
1,201902,203,40,90,520,265,507,190,3903
2,201903,273,49,217,1179,371,988,252,7182
3,201904,300,58,190,860,415,553,304,5305
4,201905,333,65,209,947,373,752,265,6022
5,201906,334,68,208,825,441,786,324,6356
6,201907,350,56,237,1079,283,630,179,5280
7,201908,413,72,248,867,371,500,220,4916
8,201909,405,72,156,813,398,719,295,5785
9,201910,400,85,123,735,664,871,541,7539
10,201911,343,63,152,802,362,734,247,5622
11,201912,357,65,152,812,421,637,306,5539
12,202001,313,64,80,470,286,426,236,3664
13,202002,288,64,83,468,312,450,206,3782
14,202003,362,56,181,806,371,716,227,5599
15,202004,486,96,174,973,757,1170,612,9496
16,202005,382,80,144,1337,373,436,257,5002
17,202006,341,56,170,1181,294,384,189,4317
18,202007,424,68,195,1487,389,966,280,7468
19,202008,566,95,318,2190,613,1802,421,12715
20,202009,497,98,194,1712,694,1230,558,10218
21,202010,424,91,138,1120,445,611,381,5937
22,202011,486,87,375,1795,526,796,368,8043
23,202012,464,86,204,1794,597,638,441,7427
24,202101,439,86,181,1871,554,513,409,6765
25,202102,359,64,150,1250,344,372,244,4558
26,202103,461,78,174,1831,518,877,316,7873
27,202104,510,100,174,1792,534,1027,361,8572
28,202105,400,70,142,1311,339,487,214,4988
29,202106,480,98,138,1573,495,881,377,7612
30,202107,514,95,140,1378,517,696,341,6675
31,202108,831,103,225,2155,496,1204,301,9511
32,202109,734,137,203,2123,719,1638,526,12290
33,202110,184,5,47,549,21,21,6,802
34,202111,828,102,166,2312,651,1086,437,9815
