,month,actor_num,contributor_num,open_issue,issue_comment,open_pull,pr_review,merge_pull,activity
0,20156,11,2,13,21,10,5,8,113
1,20157,47,16,24,77,52,59,37,591
2,20158,86,13,64,245,59,31,45,764
3,20159,97,8,108,286,26,11,21,666
4,201510,79,14,59,281,41,76,36,898
5,201511,98,12,112,384,42,92,40,1182
6,201512,126,13,143,486,43,35,35,1111
7,20161,129,12,133,477,34,31,29,1027
8,20162,93,6,101,332,31,14,17,717
9,20163,155,12,154,723,62,23,57,1423
10,20164,194,21,197,758,46,86,35,1704
11,20165,264,18,304,1116,59,101,50,2405
12,20166,237,15,258,878,52,73,40,1922
13,20167,261,17,258,990,59,73,56,2087
14,20168,254,18,272,1060,74,248,60,2938
15,20169,246,22,246,1031,101,111,96,2462
16,201610,265,23,305,1234,103,33,96,2477
17,201611,314,27,323,1525,99,96,82,3016
18,201612,336,29,280,1400,68,121,58,2764
19,20171,288,36,220,1313,80,88,78,2501
20,20172,317,27,280,1690,87,108,72,3087
21,20173,396,47,348,1871,127,163,102,3804
22,20174,340,33,308,1177,74,56,56,2351
23,20175,362,28,264,1237,75,74,58,2402
24,20176,378,25,313,1303,58,50,36,2375
25,20177,385,38,269,1114,73,64,61,2249
26,20178,435,44,277,1252,92,146,72,2810
27,20179,408,40,263,1227,117,96,96,2680
28,201710,352,28,218,946,65,29,47,1787
29,201711,340,26,254,1036,60,63,45,2066
30,201712,453,33,327,1292,72,120,47,2736
31,20182,330,31,186,727,60,52,38,1563
32,20183,506,45,323,1208,99,97,69,2677
33,20184,484,37,284,1197,89,57,59,2378
34,20185,454,33,305,5076,77,115,56,6489
35,20186,433,32,287,1352,71,107,49,2665
36,20187,484,47,288,1232,95,182,60,2941
37,20188,536,51,299,1258,100,101,73,2706
38,20189,544,45,347,1482,93,88,65,2937
39,201810,481,42,273,1088,86,100,58,2408
40,201811,477,33,298,1226,113,121,75,2795
41,201812,1787,63,411,4130,133,175,107,6265
42,20191,635,47,349,2032,187,369,152,5071
43,20192,468,39,271,1686,156,252,122,3948
44,20193,665,61,434,2148,216,330,168,5320
45,20194,611,40,423,2127,204,339,173,5287
46,20195,590,41,353,1687,156,128,121,3615
47,20196,554,40,314,1371,153,137,120,3246
48,20197,755,58,446,1914,181,195,136,4401
49,20198,634,51,373,1811,199,302,156,4674
50,20199,517,41,316,1550,148,221,121,3752
51,201910,532,41,290,1389,138,144,104,3167
52,201911,567,55,342,1860,166,185,127,4036
53,201912,524,42,347,1932,204,346,167,4956
54,20201,527,41,363,2179,224,209,199,4811
55,20202,494,50,298,1800,252,238,216,4536
56,20203,909,71,701,3652,376,261,324,7874
57,20204,909,61,627,3646,368,411,322,8292
58,20205,782,61,444,3332,384,282,315,7130
59,20206,727,56,388,3315,300,493,243,7449
60,20207,703,52,352,2883,272,371,210,6307
61,20208,643,43,336,2465,193,193,152,4792
62,20209,610,41,307,2094,156,177,115,4114
63,202010,632,51,300,2198,206,249,166,4744
64,202011,698,55,379,2472,232,280,197,5440
65,202012,647,56,340,1994,170,156,134,4076
66,20211,577,43,297,1685,155,197,116,3764
67,20212,438,27,221,1211,147,185,113,3060
68,20213,555,40,243,1498,144,119,102,3096
69,20214,525,37,241,1274,110,77,84,2562
70,20215,482,29,227,1190,129,91,93,2581
71,20216,482,31,264,1095,105,72,85,2396
72,20217,549,42,246,1093,110,40,75,2225
73,20218,421,25,201,1017,91,54,61,2030
74,20219,460,33,197,1238,117,137,88,2707
75,202110,151,4,65,306,6,4,8,486
76,202111,471,27,230,1105,102,37,68,2155
