,month,actor_num,contributor_num,open_issue,issue_comment,open_pull,pr_review,merge_pull,activity
0,20182,59,18,28,260,56,129,46,1092
1,20183,83,19,55,397,69,225,61,1736
2,20184,60,14,14,118,44,78,41,672
3,20185,69,14,22,170,34,121,27,854
4,20186,112,28,39,518,94,425,90,2758
5,20187,146,32,24,473,116,446,104,2861
6,20188,132,27,44,594,101,353,90,2577
7,20189,140,31,20,476,75,651,67,3479
8,201810,181,43,38,777,191,764,157,4796
9,201811,145,36,26,512,111,332,106,2437
10,201812,151,37,36,443,94,603,80,3369
11,20191,152,40,58,661,97,500,88,3244
12,20192,170,45,53,677,108,415,102,2971
13,20193,183,47,60,783,171,573,144,3996
14,20194,216,48,61,730,125,472,99,3313
15,20195,169,45,38,595,107,714,102,4052
16,20196,178,45,47,624,149,362,134,2881
17,20197,203,42,52,828,162,724,132,4578
18,20198,223,53,42,638,135,381,112,2875
19,20199,207,56,31,650,124,324,131,2642
20,201910,218,46,45,718,155,417,132,3205
21,201911,285,58,43,872,167,662,145,4397
22,201912,203,52,42,503,115,407,102,2764
23,20201,180,40,26,534,163,519,146,3443
24,20202,205,41,33,724,142,589,123,3818
25,20203,244,62,27,851,193,644,172,4404
26,20204,258,57,58,882,235,704,203,4925
27,20205,214,49,31,658,183,766,178,4689
28,20206,204,51,26,731,229,679,208,4602
29,20207,264,56,50,630,165,1253,137,6511
30,20208,263,59,32,644,143,836,134,4749
31,20209,240,63,53,706,178,727,156,4566
32,202010,214,51,35,559,170,584,156,3787
33,202011,208,55,33,453,158,568,138,3541
34,202012,193,52,33,599,155,638,133,3948
35,20211,209,45,42,531,148,523,128,3407
36,20212,216,49,26,532,140,592,116,3604
37,20213,287,65,37,780,183,760,152,4747
38,20214,267,50,28,584,145,786,124,4467
39,20215,245,58,33,600,166,705,154,4292
40,20216,272,69,28,623,181,737,161,4492
41,20217,285,76,40,619,196,835,164,4955
42,20218,277,66,48,826,201,1079,172,6185
43,20219,292,66,35,884,230,1354,205,7470
44,202110,139,31,17,291,44,220,50,1437
45,202111,228,63,35,549,173,753,148,4446
