,actor_id,issuecomment,openissue,openPR,reviewcomment,mergePR,label,participation_score,code_contribution_score
0,29231,1.0,0.0,1.0,14.0,0.0,0,1.0,59.0
1,64772,1.0,0.0,0.0,0.0,0.0,0,1.0,0.0
2,328693,4.0,0.0,0.0,10.0,0.0,0,4.0,40.0
3,548443,3.0,1.0,0.0,0.0,0.0,0,5.0,0.0
4,552990,0.0,0.0,0.0,3.0,0.0,0,0.0,12.0
5,582584,0.0,0.0,1.0,0.0,0.0,0,0.0,3.0
6,1298682,3.0,1.0,0.0,0.0,0.0,0,5.0,0.0
7,1306724,2.0,0.0,2.0,6.0,1.0,0,2.0,35.0
8,1312389,2.0,0.0,0.0,0.0,0.0,0,2.0,0.0
9,1326879,1.0,0.0,0.0,0.0,0.0,0,1.0,0.0
10,1371212,0.0,0.0,0.0,30.0,0.0,0,0.0,120.0
11,1544285,1.0,1.0,0.0,0.0,0.0,0,3.0,0.0
12,1699033,2.0,2.0,0.0,0.0,0.0,0,6.0,0.0
13,2002279,0.0,0.0,2.0,12.0,3.0,1,0.0,69.0
14,2016660,2.0,0.0,0.0,0.0,0.0,0,2.0,0.0
15,2089196,0.0,1.0,0.0,0.0,0.0,0,2.0,0.0
16,2148867,2.0,0.0,0.0,0.0,0.0,0,2.0,0.0
17,2272252,4.0,0.0,0.0,0.0,0.0,0,4.0,0.0
18,2417391,0.0,1.0,0.0,0.0,0.0,0,2.0,0.0
19,2472797,0.0,1.0,0.0,0.0,0.0,0,2.0,0.0
20,2526276,1.0,1.0,0.0,0.0,0.0,0,3.0,0.0
21,2719771,1.0,0.0,0.0,0.0,0.0,0,1.0,0.0
22,2749234,1.0,0.0,0.0,0.0,0.0,0,1.0,0.0
23,2766645,26.0,3.0,0.0,0.0,0.0,0,32.0,0.0
24,2929527,5.0,1.0,9.0,1.0,8.0,1,7.0,71.0
25,2936886,2.0,0.0,0.0,0.0,0.0,0,2.0,0.0
26,3038472,4.0,0.0,4.0,5.0,2.0,1,4.0,42.0
27,3069790,2.0,0.0,7.0,37.0,3.0,1,2.0,184.0
28,3124643,2.0,2.0,0.0,0.0,0.0,0,6.0,0.0
29,3177864,0.0,1.0,0.0,0.0,0.0,0,2.0,0.0
30,3197038,3.0,1.0,0.0,0.0,0.0,0,5.0,0.0
31,3206718,1.0,1.0,0.0,0.0,0.0,0,3.0,0.0
32,3315048,1.0,0.0,0.0,0.0,0.0,0,1.0,0.0
33,3382620,1.0,0.0,0.0,0.0,0.0,0,1.0,0.0
34,3390197,0.0,1.0,0.0,0.0,0.0,0,2.0,0.0
35,3429344,1.0,1.0,0.0,0.0,0.0,0,3.0,0.0
36,3439673,1.0,0.0,0.0,0.0,0.0,0,1.0,0.0
37,3864344,0.0,1.0,0.0,0.0,0.0,0,2.0,0.0
38,3889524,1.0,0.0,0.0,0.0,0.0,0,1.0,0.0
39,3903722,0.0,0.0,1.0,17.0,1.0,0,0.0,76.0
40,3920920,5.0,1.0,0.0,0.0,0.0,0,7.0,0.0
41,4081484,4.0,0.0,0.0,0.0,0.0,0,4.0,0.0
42,4128131,1.0,1.0,0.0,0.0,0.0,0,3.0,0.0
43,4272351,2.0,0.0,0.0,0.0,0.0,0,2.0,0.0
44,4454836,0.0,1.0,0.0,0.0,0.0,0,2.0,0.0
45,4593091,0.0,2.0,0.0,0.0,0.0,0,4.0,0.0
46,4641009,1.0,0.0,0.0,0.0,0.0,0,1.0,0.0
47,4688773,0.0,1.0,0.0,0.0,0.0,0,2.0,0.0
48,5151146,1.0,0.0,0.0,0.0,0.0,0,1.0,0.0
